date,category,search_index,wow_growth_pct
2026-07-24,mitti attar,5.9,-40.4
2026-07-24,mitti attar,5.9,-40.4
2026-07-24,mitti attar,4.0,-58.3
2026-07-26,mitti attar,7.4,-39.8
